,index,0
4988,officialgaa,69
4989,sportinglimerick,7
4990,colbert,30
4991,railway,12
4992,corporation,7
4993,hyde,12
4994,construct,7
4995,goalpost,1
4996,overturn,5
4997,limericktunnel,1
4998,standstill,1
4999,paddy,8
5000,brennan,7
5001,decade,8
5002,thejournal,3
5003,invasion,2
5004,welder,2
5005,dennehy,2
5006,commercials,1
5007,currently,20
5008,angle,17
5009,shoot,30
5010,throwbacktuesday,7
5011,arthursquaypark,160
5012,elmwood,2
5013,savor,1
5014,moov,1
5015,flavor,1
5016,nationallimerickday,5
5017,elmwoodpark,1
5018,peoplesmuseumlk,37
5019,limerickvcork,19
5020,luimneachabú,62
5021,limerickforliam,2
5022,flagsout,1
5023,gogreen,1
5024,bord,14
5025,mona,1
5026,summerofhurle,3
5027,dare,2
5028,parkway,553
5029,target,23
5030,clionasfdn,11
5031,grief,8
5032,cari,16
5033,lday,10
5034,individual,9
5035,hospitality,10
5036,knowledge,6
5037,interact,4
5038,positively,10
5039,protest,37
5040,lgbt,1
5041,cityintel,3
5042,embark,7
5043,thomondparkstadium,37
5044,medal,3
5045,enright,37
5046,induct,37
5047,littlewood,1
5048,duggan,16
5049,ballinasloe,6
5050,staker,1
5051,wallace,4
5052,greenpark,86
5053,plate,13
5054,steeplechase,2
5055,thousand,19
5056,states,1
5057,america,9
5058,spell,5
5059,hooter,1
5060,successive,10
5061,ross,5
5062,grandparent,3
5063,total,14
5064,mother,55
5065,comedy,3
5066,priority,7
5067,vital,25
5068,pairc,5
5069,chaoimh,6
5070,flex,2
5071,lease,5
5072,township,4
5073,warehouse,21
5074,mullane,2
5075,alongside,4
5076,nickie,5
5077,quaid,3
5078,graeme,17
5079,longford,20
5080,baronet,2
5081,landowner,2
5082,oldharrovian,2
5083,byron,3
5084,tcddublin,1
5085,sheriff,12
5086,sonnet,5
5087,clock,11
5088,hills,28
5089,moylussa,1
5090,kilalloe,1
5091,coole,1
5092,dolman,2
5093,lisvarrinane,1
5094,doolin,2
5095,liscannor,1
5096,cliff,7
5097,peter,17
5098,tcdalumni,1
5099,norm,7
5100,trader,28
5101,react,6
5102,corvlim,14
5103,mair,6
5104,fitz,7
5105,breaktheduck,1
5106,increase,18
5107,theft,11
5108,innovation,20
5109,ttslive,6
5110,tourismspace,5
5111,parklet,131
5112,effective,3
5113,remove,39
5114,skatepark,16
5115,footballer,6
5116,fears,1
5117,tenant,6
5118,jeweller,1
5119,gedicht,2
5120,blind,8
5121,eling,2
5122,vertrouwen,2
5123,parkietenrijk,1
5124,lotto,3
5125,outbid,3
5126,shopper,25
5127,convenient,9
5128,parkinson,10
5129,sufferer,2
5130,demonstrate,3
5131,revolution,2
5132,llama,1
5133,outrage,2
5134,spate,4
5135,gardaí,30
5136,elderly,16
5137,scamme,1
5138,phone,46
5139,seller,3
5140,mathematicstour,4
5141,mattnnateurope,1
5142,thief,10
5143,forr,5
5144,slideshow,2
5145,tennis,5
5146,disappointing,3
5147,regeneration,29
5148,deserve,39
5149,positiveireland,6
5150,irishindonew,6
5151,sparkmarketingc,36
5152,prendergast,2
5153,downtobiz,5
5154,prom,39
5155,cityofculture,18
5156,targette,1
5157,focus,13
5158,newspaper,5
5159,sportssummit,2
5160,seen,6
5161,wconsulte,2
5162,masquerade,6
5163,carersireland,3
5164,retrobarber,1
5165,registered,1
5166,worldofconlon,4
5167,gently,4
5168,merrionpark,3
5169,parkgate,3
5170,prank,2
5171,stpat,9
5172,foody,1
5173,cultureandchip,28
5174,disadvantaged,1
5175,evacuation,1
5176,creche,2
5177,peoples,26
5178,cleeve,30
5179,factory,8
5180,autismcentre,1
5181,parkwayretailpark,5
5182,checkitout,3
5183,pray,8
5184,victorious,6
5185,dominate,2
5186,fairness,6
5187,gaabeo,6
5188,sparkly,25
5189,juliecarrmedia,3
5190,sakura,1
5191,cerejeiras,1
5192,debate,28
5193,rtegaa,27
5194,expensive,6
5195,item,11
5196,disabled,56
5197,malley,26
5198,irishcruiserracingassociationworkshop,1
5199,roger,3
5200,kierans,10
5201,railing,7
5202,entertainment,1061
5203,suggest,13
5204,ybig,1
5205,squirrel,7
5206,redsquirrel,2
5207,curraghchaseforestpark,14
5208,coillte,31
5209,hastobedone,1
5210,happyout,3
5211,yaabuddy,1
5212,thomandpark,93
5213,shamrock,10
5214,springishere,2
5215,gamer,4
5216,expose,5
5217,skate,16
5218,fifth,2
5219,exodus,1
5220,hoteloffer,1
5221,flying,1
5222,fuck,4
5223,hotting,1
5224,coybig,9
5225,mayogaa,29
5226,throwback,15
5227,oneyear,1
5228,missthat,1
5229,parkviewhall,1
5230,busstop,5
5231,piperhawk,15
5232,parkroe,2
5233,ballyclough,3
5234,thirty,5
5235,queens,1
5236,chairman,2
5237,criticise,4
5238,listener,2
5239,term,13
5240,waterpark,11
5241,eparke,2
5242,nomorediscs,1
5243,cityupdate,5
5244,repost,5
5245,siima,1
5246,shovel,7
5247,parkbenchnew,228
5248,forecast,21
5249,stmaryspark,5
5250,perysquare,51
5251,yummy,7
5252,foodtruckfestival,2
5253,parkcanal,2
5254,arup,3
5255,deerpark,19
5256,misty,16
5257,recognise,32
5258,egan,7
5259,magi,7
5260,cracker,15
5261,youcantparkthere,2
5262,righttothedoor,2
5263,hammer,3
5264,woodpark,16
5265,eugenejryan,23
5266,villi,6
5267,alms,7
5268,villiersalmshouse,7
5269,saintmaryspark,8
5270,limerickcounci,6
5271,reversal,1
5272,mobility,9
5273,threaten,8
5274,arena,2
5275,herald,10
5276,changer,2
5277,broadcaster,1
5278,roadwork,6
5279,prohibit,5
5280,thesundaygame,8
5281,controversy,3
5282,sweeter,1
5283,lifts,2
5284,gerryodonnell,1
5285,martinmongan,1
5286,wanting,1
5287,mmhcsf,1
5288,kever,1
5289,smash,22
5290,brick,2
5291,driving,3
5292,lure,2
5293,lifestyle,7
5294,heroin,10
5295,addict,4
5296,overdose,1
5297,decide,16
5298,illegal,55
5299,parker,22
5300,coward,1
5301,what,8
5302,everyday,49
5303,caherconlish,25
5304,rosetour,2
5305,parkmore,2
5306,shanagolden,5
5307,northside,9
5308,legacy,9
5309,decrease,1
5310,revenue,8
5311,monaghan,10
5312,titles,17
5313,extension,4
5314,nail,11
5315,glitter,5
5316,jedward,1
5317,underpant,1
5318,sheiladegan,31
5319,radisson,8
5320,spirit,22
5321,preferential,1
5322,treatment,7
5323,garth,8
5324,brooks,9
5325,garthbrooks,1
5326,garthbrookscrokepark,2
5327,renaissance,1
5328,eoghanpren,1
5329,downto,1
5330,qpark,5
5331,tommy,3
5332,tiernan,5
5333,jimmylala,1
5334,cliona,91
5335,moyross,47
5336,oakpark,5
5337,gooddeed,2
5338,boatpark,1
5339,limerickregatta,1
5340,briens,4
5341,parkwayshoppingcentre,14
5342,bloominthepark,25
5343,skateboard,7
5344,retailforsale,1
5345,childersroad,1
5346,entertainmentie,1
5347,eevee,2
5348,pokemon,1
5349,woodlawn,17
5350,pokemongolocation,1
5351,sarsfieldsday,7
5352,siege,7
5353,thewildgeese,4
5354,treatyoflimerick,4
5355,exceptionally,3
5356,temperature,6
5357,sidarcy,3
5358,rosmor,2
5359,detach,216
5360,hollypark,7
5361,kilcornan,31
5362,connemara,2
5363,bleed,3
5364,sentence,6
5365,sexual,4
5366,assault,5
5367,bleak,2
5368,emma,6
5369,cmcubfan,2
5370,sensory,18
5371,limvkil,5
5372,gerardrmoloney,1
5373,paulpartnership,6
5374,declawn,1
5375,liammccarthycup,3
5376,seasonal,9
5377,embrace,18
5378,election,29
5379,consider,24
5380,immaculate,3
5381,bowesbarker,3
5382,teddy,3
5383,groom,8
5384,dogsoft,1
5385,jennyleedixon,2
5386,bias,3
5387,triple,5
5388,limerickloveslive,1
5389,vknv,1
5390,maps,2
5391,stabbed,1
5392,stabbing,2
5393,delorentos,3
5394,benetton,3
5395,littlespark,3
5396,cranberry,22
5397,valley,115
5398,chamber,8
5399,gordan,2
5400,kearney,5
5401,parkwayvalley,2
5402,widen,3
5403,pedal,2
5404,footballclub,3
5405,manchester,16
5406,sonny,3
5407,castlepark,9
5408,jobseeker,4
5409,getthatjob,1
5410,merval,14
5411,clareview,26
5412,underagesoccer,1
5413,limerickpark,3
5414,recycling,47
5415,mercuryx,14
5416,adjacent,8
5417,parkwayshoppe,4
5418,rsvp,2
5419,ianharte,1
5420,trap,3
5421,letter,29
5422,disappoint,4
5423,finger,19
5424,intermediate,15
5425,lynwood,11
5426,seancurtinphoto,33
5427,scphoto,17
5428,greystone,2
5429,kidnap,2
5430,nigerian,2
5431,scoreboard,11
5432,supportingloi,17
5433,mimibedford,1
5434,tjryan,1
5435,bouncersabu,1
5436,nothingbeatsbeingthere,4
5437,squeeze,7
5438,bruffrfc,15
5439,kilballyowen,19
5440,crack,23
5441,intermediary,1
5442,marco,5
5443,polo,5
5444,aliceofarrell,2
5445,garda,43
5446,speed,21
5447,wagon,1
5448,munvsar,4
5449,munstersupport,1
5450,lawlor,8
5451,proms,3
5452,lharringtongolf,1
5453,wealdstone,2
5454,jobrienjo,8
5455,lowerpark,4
5456,laurel,7
5457,colaiste,2
5458,coyc,1
5459,deacy,21
5460,ulbohemianrfc,17
5461,crokers,1
5462,meco,7
5463,headquarters,16
5464,paulmullaphoto,3
5465,carving,15
5466,limlivefm,101
5467,networklimerick,8
5468,thetoughest,36
5469,rosturra,2
5470,woodview,5
5471,liken,1
5472,riverfestfestival,1
5473,polskaeriefestival,1
5474,peoplepark,3
5475,demesne,10
5476,funfree,1
5477,hairdresser,5
5478,yelp,1
5479,tagesausflug,2
5480,nach,2
5481,austausch,2
5482,spaß,2
5483,quickpark,6
5484,irishmammy,1
5485,irishdaddy,1
5486,monument,19
5487,bungalow,23
5488,parkville,9
5489,festivity,6
5490,livef,6
5491,graffti,2
5492,graffitipark,2
5493,grafftiiporn,2
5494,limerickmua,2
5495,limerickyourealady,3
5496,muckrosspark,7
5497,appointment,6
5498,lovekillarney,1
5499,familyfun,10
5500,rack,5
5501,unpaid,1
5502,swarm,1
5503,teamlimerick,3
5504,enterpriseeuropenetwork,2
5505,enterpriseireland,2
5506,localenterprise,2
5507,letsdobusiness,2
5508,detached,3
5509,moyrossunite,1
5510,pikeroversfc,4
5511,caherdavin,51
5512,janesborofc,5
5513,carewparkfc,5
5514,geraldinesafc,2
5515,aesthetic,4
5516,treeroot,1
5517,tackle,14
5518,hazard,4
5519,teaser,4
5520,anneriordan,4
5521,showsomeheart,5
5522,valentineday,5
5523,agree,7
5524,magsodo,15
5525,claims,1
5526,lorenzo,6
5527,knife,1
5528,socialhi,1
5529,additional,15
5530,teacher,21
5531,condone,3
5532,tomtdowle,7
5533,disappointed,4
5534,seanryant,151
5535,feedback,5
5536,kind,27
5537,gone,1
5538,peoplesparklimerick,31
5539,ennis,182
5540,ticketfairy,12
5541,christma,5
5542,glimerick,2
5543,timely,1
5544,renovation,3
5545,ideas,9
5546,southside,3
5547,cctv,15
5548,casement,2
5549,clubaontroma,2
5550,dowle,9
5551,infront,2
5552,allianznhlb,2
5553,anfearruagaa,1
5554,makeamove,2
5555,manchestercity,2
5556,footballfriendlie,1
5557,lisheen,4
5558,stonepark,30
5559,ballyneety,19
5560,limerickrosecen,3
5561,zest,7
5562,williamstreet,1
5563,parkandride,6
5564,bruce,58
5565,brucespringsteen,19
5566,springsteen,81
5567,craig,3
5568,curran,2
5569,scoring,9
5570,sportingcapital,1
5571,contest,9
5572,walls,3
5573,gaaclare,37
5574,sportsfile,20
5575,marian,14
5576,peugeot,2
5577,airtrcity,1
5578,chicky,5
5579,specialolympic,5
5580,locker,6
5581,wanderer,6
5582,barbarian,6
5583,spree,1
5584,carer,14
5585,operators,2
5586,abuser,2
5587,johnmeehan,1
5588,nonie,2
5589,limerickhh,10
5590,goshhmw,3
5591,parkrunire,12
5592,athea,4
5593,cksportleader,92
5594,munst,1
5595,dozen,104
5596,lansdowne,24
5597,bounce,7
5598,qparkireland,38
5599,jobfairy,35
5600,samaritans,6
5601,munrct,2
5602,europeancup,4
5603,attentive,1
5604,medical,6
5605,practitioner,2
5606,honorary,10
5607,limerickabú,4
5608,allirelandsemifinal,3
5609,hogan,42
5610,shel,11
5611,reveler,2
5612,obey,4
5613,jacque,14
5614,fairygardensofireland,1
5615,fairydoors,1
5616,thatssolimerick,1
5617,limerickreveal,7
5618,lime,78
5619,statue,26
5620,arrest,18
5621,murder,5
5622,christy,1
5623,limericke,7
5624,shannamore,1
5625,singland,15
5626,bmedia,1
5627,placemake,5
5628,deter,2
5629,raleighreport,21
5630,nite,8
5631,salute,22
5632,scrum,6
5633,teddysphoto,6
5634,streetview,1
5635,orlaithcarmody,7
5636,markievicz,7
5637,kincora,3
5638,sheelin,2
5639,henn,3
5640,ford,30
5641,mayorstone,14
5642,shoppingireland,2
5643,parkwaysc,56
5644,sprinsteen,1
5645,brucelimerick,4
5646,hawk,6
5647,admit,2
5648,grestone,2
5649,lawrence,7
5650,talert,1
5651,horserace,17
5652,fundraiser,29
5653,jtmcnamara,1
5654,carabullawn,1
5655,glenbeigh,1
5656,fort,16
5657,relief,5
5658,limerickcoco,6
5659,stormdamage,2
5660,avenue,47
5661,springcolour,4
5662,parkland,32
5663,flash,1
5664,worldclub,1
5665,groody,54
5666,fans,9
5667,chorus,3
5668,richie,12
5669,descend,15
5670,luxe,4
5671,limerickgiant,56
5672,shelbourneparklimerick,5
5673,lodge,16
5674,circ,14
5675,repair,18
5676,derravaragh,26
5677,lpie,815
5678,bornclothe,1
5679,nowhire,1
5680,nomoreparkingdisc,1
5681,operate,13
5682,avondale,1
5683,electrician,4
5684,tradesecret,1
5685,donald,17
5686,trump,45
5687,mixedmedia,2
5688,davidbowie,1
5689,portrait,7
5690,viviennemccormack,1
5691,chezlefab,106
5692,arts,1
5693,federal,4
5694,funding,38
5695,claregalwaycoll,1
5696,monumento,1
5697,homenagem,1
5698,irishtimesbiz,3
5699,contact,52
5700,stride,2
5701,scheme,30
5702,ensuite,9
5703,reasonable,8
5704,rentlimerick,1
5705,direct,34
5706,secure,37
5707,performer,9
5708,rhebogue,9
5709,irel,5
5710,limvgal,14
5711,husband,13
5712,overjoy,1
5713,cribscan,3
5714,gouldavoher,12
5715,bedroom,23
5716,heating,20
5717,oper,10
5718,theblackrabbitlimk,1
5719,duplex,19
5720,sluggary,8
5721,drug,28
5722,seize,13
5723,oasis,16
5724,inner,13
5725,socialhistory,9
5726,childer,41
5727,thoughtful,1
5728,parkingfail,1
5729,nocopon,1
5730,getting,13
5731,whyrconf,5
5732,rstat,6
5733,limerickrevea,2
5734,limericklocal,1
5735,limer,56
5736,roxboro,28
5737,triumph,7
5738,government,43
5739,notable,2
5740,attendee,4
5741,biased,2
5742,tweetneville,1
5743,glenroe,10
5744,tracey,35
5745,thormond,4
5746,sparking,2
5747,chemical,7
5748,fizzin,1
5749,arise,3
5750,lawyer,3
5751,copyright,1
5752,creator,3
5753,jersey,19
5754,tattoo,3
5755,sparky,47
5756,gareth,2
5757,alanowen,2
5758,savour,2
5759,gaascore,1
5760,ulbohs,11
5761,underage,6
5762,grove,17
5763,litlll,1
5764,radio,110
5765,diabetes,2
5766,wigmore,1
5767,glandore,3
5768,reschedule,1
5769,hugely,5
5770,influential,1
5771,midfield,1
5772,lujan,1
5773,limeri,40
5774,athletic,2
5775,chestnut,13
5776,olympian,4
5777,foll,2
5778,depart,4
5779,floodlights,1
5780,candystripe,1
5781,doyle,5
5782,rfcthomond,14
5783,quirki,17
5784,kiosk,104
5785,concretestew,15
5786,jobsearch,2
5787,livefmn,1
5788,hotelsavailable,1
5789,booth,1
5790,vinny,6
5791,faherty,6
5792,staying,2
5793,terrace,68
5794,glenstalschool,1
5795,mobile,29
5796,skehillr,1
5797,peop,1
5798,allianzhurlingleagues,39
5799,cusackpark,41
5800,browne,3
5801,diarmuid,1
5802,davey,1
5803,reidy,3
5804,euromillion,4
5805,acquire,5
5806,perform,43
5807,bower,1
5808,maypark,4
5809,bolland,3
5810,advance,7
5811,chicagogaa,4
5812,modern,10
5813,celebration,42
5814,castledemesne,4
5815,pallasgreen,7
5816,boho,1
5817,lisnagry,2
5818,kilk,2
5819,reminiscent,1
5820,tyrone,12
5821,celebrating,16
5822,obrienswine,22
5823,weekly,7
5824,jcarew,2
5825,avfc,2
5826,powerty,1
5827,sharingiscare,1
5828,peopleforpeople,1
5829,dragonflystat,7
5830,limerickreveale,2
5831,ballysheedy,2
5832,dawn,11
5833,eason,20
5834,bookstore,4
5835,sparlingpoet,3
5836,norwood,68
5837,awardwinning,1
5838,sick,2
5839,snowin,1
5840,sleet,1
5841,slush,1
5842,dice,1
5843,shrnbenson,4
5844,patriarchal,1
5845,bond,2
5846,stark,3
5847,absurd,4
5848,menfolk,1
5849,privileged,3
5850,inarow,1
5851,speech,7
5852,shelbournepark,31
5853,gogreyhoundrace,14
5854,thisrunsdeep,1
5855,boylesportsigd,3
5856,pursuit,2
5857,hughcoonagh,2
5858,livemusic,24
5859,boardandpark,1
5860,massachusettsrealestate,1
5861,american,5
5862,skateparks,1
5863,proseriesg,1
5864,phase,30
5865,qualifier,10
5866,parnell,16
5867,reign,1
5868,mcfc,8
5869,loilive,2
5870,rabo,5
5871,jason,5
5872,hughes,1
5873,newtomyhome,1
5874,cama,1
5875,holder,10
5876,woodfield,8
5877,cosgrove,1
5878,rostrevor,3
5879,thump,2
5880,shelb,1
5881,fibreglass,1
5882,creativity,7
5883,dalglish,1
5884,gaffney,6
5885,lostfoundpet,544
5886,dromcollogher,4
5887,larch,2
5888,enableireland,8
5889,janemount,5
5890,verona,4
5891,quigley,4
5892,ciresi,5
5893,friarstown,1
5894,priory,7
5895,janesboro,13
5896,footage,9
5897,rebrande,1
5898,hectare,7
5899,championscup,23
5900,munvrct,1
5901,periploiaviatio,1
5902,makeitlimerick,1
5903,dermotculhane,9
5904,dressing,532
5905,destiny,5
5906,frenzied,2
5907,touch,38
5908,hurlingfinal,2
5909,proofficial,5
5910,officialexeterchief,1
5911,defiant,1
5912,heinekenchampionscup,4
5913,exeterchief,1
5914,apply,28
5915,tolka,13
5916,commentary,39
5917,betweenstripe,2
5918,considerate,4
5919,huawei,4
5920,vision,13
5921,socialdemocrat,1
5922,covet,3
5923,centrairl,3
5924,stsenansgaa,1
5925,killeedygaa,1
5926,writer,27
5927,eire,8
5928,mural,7
5929,brooklyn,1
5930,delmege,13
5931,fungi,3
5932,officialcorkgaa,14
5933,winning,1
5934,passerby,1
5935,coffeetime,1
5936,esbgroup,2
5937,hart,4
5938,joleon,1
5939,lescott,1
5940,hampstead,3
5941,belfield,9
5942,rosbrien,1
5943,mcevoy,1
5944,lims,1
5945,nzuzi,1
5946,sent,1
5947,bundle,1
5948,hunky,2
5949,dory,1
5950,oriel,3
5951,limericlfc,1
5952,townhouse,1
5953,glascow,3
5954,rival,5
5955,gilmartin,2
5956,murroe,31
5957,nerve,5
5958,harp,3
5959,ashbrook,7
5960,assignment,1
5961,classof,1
5962,originally,6
5963,tara,9
5964,cosgrave,15
5965,landsdowne,6
5966,piarsiagh,3
5967,slaughtneil,4
5968,bohemians,8
5969,newtothemarket,1
5970,firsttimebuyer,1
5971,reaocm,1
5972,manufacture,2
5973,gtma,1
5974,limericksom,1
5975,quaidcandle,3
5976,corkvlimerick,15
5977,gave,2
5978,hazel,3
5979,milkmarketlimerick,1
5980,rian,1
5981,subdue,3
5982,deserved,13
5983,alzheimersocirl,1
5984,hair,17
5985,advanced,4
5986,carpool,11
5987,tuam,3
5988,raheenbusinesspark,5
5989,cogalway,1
5990,taketurn,1
5991,castletroyparkhotel,21
5992,perry,1
5993,limkmarketing,1
5994,livehelpinglimerickchildren,3
5995,citylandscape,1
5996,cityliving,1
5997,meadowlawn,1
5998,nessans,1
5999,cranberries,33
6000,echoes,16
6001,mask,38
6002,appear,14
6003,toss,2
6004,contactless,13
6005,waterfountain,1
6006,westmeath,13
6007,spare,13
6008,honnah,1
6009,puff,1
6010,dragon,6
6011,frolic,4
6012,frog,8
6013,jurassic,2
6014,vkkr,1
6015,localmatter,1
6016,larrymccarthy,1
6017,feenagh,1
6018,evolutioncycle,3
6019,clinic,9
6020,judes,7
6021,patricks,22
6022,theth,5
6023,cloudy,5
6024,limgal,2
6025,hoop,1
6026,glamour,4
6027,mckeon,1
6028,assistants,1
6029,dynan,1
6030,lifford,4
6031,escape,8
6032,momentum,3
6033,makvg,1
6034,operator,4
6035,cobhramblersfc,8
6036,loughlen,3
6037,suitabl,1
6038,veganfood,3
6039,ecstasy,2
6040,pointer,1
6041,shanarc,1
6042,poetryday,1
6043,funny,6
6044,funnyblackboard,1
6045,halocafe,2
6046,celbridge,1
6047,castletownhouse,1
6048,kildare,26
6049,boston,23
6050,aviva,3
6051,gamerf,16
6052,indoor,9
6053,gaming,10
6054,setup,8
6055,console,1
6056,fortnite,10
6057,royale,1
6058,gamerfest,23
6059,compete,8
6060,dromroe,3
6061,fierce,2
6062,relentless,1
6063,kilvlim,2
6064,limvkk,4
6065,jamesherbert,1
6066,moonshadow,1
6067,lcga,12
6068,hobby,2
6069,loughill,24
6070,abhabhanparishpark,6
6071,balllyhahill,5
6072,nscenicdrive,3
6073,jamie,4
6074,villier,1
6075,medievallimk,1
6076,nicholasstree,2
6077,interested,26
6078,confirmed,1
6079,cian,17
6080,ransom,4
6081,dealer,8
6082,maurice,16
6083,quinlivan,5
6084,vakw,1
6085,brides,1
6086,charlevillepark,17
6087,engage,13
6088,linger,11
6089,poignant,15
6090,delore,2
6091,mccann,5
6092,portarlington,3
6093,serioussupport,3
6094,conor,25
6095,alandale,2
6096,orchard,5
6097,wifi,5
6098,suitably,5
6099,penthou,1
6100,paudie,2
6101,quish,1
6102,rebecca,2
6103,mariead,1
6104,gpaboston,1
6105,gaelicplayer,1
6106,theurbanco,8
6107,eastway,25
6108,goodfood,2
6109,attach,17
6110,irelan,1
6111,exceptional,2
6112,delta,20
6113,gamerfestlimerick,1
6114,robert,9
6115,unionist,2
6116,killing,2
6117,soviet,2
6118,johndorney,2
6119,theirishstory,2
6120,twitterstorians,1
6121,irishhistory,26
6122,leaguechampion,1
6123,limerickhurle,10
6124,gaaart,1
6125,sportart,2
6126,illustration,1
6127,laois,29
6128,mcdonagh,18
6129,officialcamogie,4
6130,damage,31
6131,reminder,30
6132,crokeparkhotel,10
6133,condition,10
6134,grandstand,5
6135,datascience,3
6136,learnathon,1
6137,knime,2
6138,careerzoo,1
6139,groomed,1
6140,please,1
6141,doggroome,1
6142,lovedog,1
6143,victim,6
6144,bloody,4
6145,denis,3
6146,dfloyd,1
6147,birdhill,2
6148,tidytown,7
6149,semblance,1
6150,normality,3
6151,artane,4
6152,sporttg,5
6153,marfan,4
6154,syndrome,5
6155,belove,5
6156,marfanfdn,4
6157,badge,4
6158,cunt,1
6159,outdooe,1
6160,crusheen,1
6161,boher,3
6162,garryspillanega,1
6163,kilbreedy,1
6164,mead,3
6165,principal,1
6166,eoinshinner,1
6167,cronin,28
6168,kodonnelllk,15
6169,rachel,2
6170,pupil,10
6171,educatetogether,7
6172,metisireland,7
6173,metisirelandfamily,4
6174,sundaybusiness,1
6175,leaflet,12
6176,funtathlon,3
6177,limerickbusinesshub,1
6178,source,4
6179,sympathy,2
6180,harris,7
6181,release,22
6182,solo,9
6183,album,10
6184,macarthur,3
6185,nicghabh,1
6186,berangley,1
6187,loft,528
6188,maccarthy,542
6189,rapturous,527
6190,raiser,7
6191,davidronil,1
6192,shelslfc,2
6193,completion,2
6194,invitation,20
6195,nasc,2
6196,eireann,4
6197,teoranta,2
6198,fenwayhurlingclassic,6
6199,scoreline,3
6200,fenwaypark,14
6201,fenwayclassic,5
6202,corklimerick,3
6203,limerickgaagaa,3
6204,fortnitebattlebus,1
6205,gamevan,1
6206,aaron,12
6207,gillane,10
6208,luxury,18
6209,soothe,2
6210,totraveltoo,3
6211,parkkenmare,4
6212,loss,10
6213,sinus,1
6214,infection,1
6215,doctor,1
6216,iloveyou,1
6217,momatterwhat,1
6218,thephotoexpo,1
6219,greyhoundmemorie,1
6220,anti,16
6221,lreland,1
6222,buildouts,1
6223,ridiculous,8
6224,suppose,5
6225,sensical,1
6226,transparencyireland,1
6227,promotion,18
6228,milford,1
6229,sreelane,1
6230,carepack,1
6231,loading,3
6232,wickham,6
6233,laziness,2
6234,motordom,1
6235,bollard,4
6236,ugly,1
6237,gaaticket,1
6238,turnstile,3
6239,queue,16
6240,chadwick,5
6241,seven,13
6242,audio,23
6243,doloriordan,18
6244,enzo,18
6245,scifo,17
6246,doloresoriordan,30
6247,fergallawler,1
6248,noelhogan,1
6249,mikehogan,1
6250,earlyyear,1
6251,absolute,26
6252,thesparkireland,1
6253,thespark,2
6254,lsad,2
6255,limerickcitygalleryofart,3
6256,unbeatable,1
6257,bathroom,3
6258,krzysztof,1
6259,luszczki,2
6260,djispark,1
6261,droneview,1
6262,thrilling,5
6263,wake,16
6264,sliothar,1
6265,gaakid,1
6266,genuinely,1
6267,greet,4
6268,banogue,2
6269,cheallaigh,1
6270,migrant,2
6271,edwards,10
6272,lifescience,10
6273,permanent,8
6274,operation,25
6275,jobsfairy,5
6276,reportedly,11
6277,dismiss,7
6278,guilherme,1
6279,petrosky,1
6280,exchangestudent,1
6281,exchange,6
6282,exchangeprogram,1
6283,nosemlimerick,1
6284,exploreomundo,1
6285,studyenglish,1
6286,studygram,2
6287,studyabroad,5
6288,minus,1
6289,freelunch,2
6290,bowl,4
6291,mace,2
6292,cody,8
6293,sideline,9
6294,lark,33
6295,joanna,15
6296,cran,45
6297,thecranberrie,23
6298,larkinthepark,1
6299,nationalstrike,30
6300,fridaysforfuture,22
6301,climatestrike,30
6302,schoolstrikeclimate,4
6303,azzurrisport,8
6304,leaguefinal,3
6305,sportswear,2
6306,brandambassador,1
6307,bamacgabhann,5
6308,seanad,3
6309,cyclelane,3
6310,embarrass,2
6311,tumbleweed,1
6312,housingcrisis,5
6313,socialhouse,1
6314,internationalsciencecentre,1
6315,alphalink,1
6316,communications,1
6317,fundrock,1
6318,fundrockmc,2
6319,newneighbor,1
6320,businesspark,1
6321,technologypark,1
6322,mercialproperty,1
6323,sheehan,13
6324,waive,2
6325,normally,5
6326,northeast,3
6327,colin,5
6328,cities,6
6329,galwayabú,1
6330,limerickpanto,1
6331,limerickpoetswh,1
6332,limerickpub,1
6333,limerickpd,1
6334,limerickperson,1
6335,limerickpartner,1
6336,limerickomen,1
6337,limerickonline,3
6338,limerickonice,1
6339,abirrnanki,1
6340,anthonykearneyphotography,1
6341,vaxxe,1
6342,obviously,8
6343,wreck,2
6344,faultless,1
6345,vacantlimerick,2
6346,organise,29
6347,derelictlimerick,2
6348,derelictireland,3
6349,vacantireland,4
6350,limerickwalkingtours,1
6351,puckane,7
6352,boarmanshill,7
6353,cappercullen,5
6354,ordinance,4
6355,survey,37
6356,billyleencw,1
6357,preliminary,4
6358,rebel,10
6359,negative,8
6360,postive,4
6361,donor,4
6362,pressure,6
6363,bally,1
6364,mathematically,1
6365,timehop,2
6366,math,1
6367,theparkersquare,1
6368,lcdc,1
6369,getoutandactive,1
6370,kilkennyclg,11
6371,kilkennygaa,1
6372,petstop,2
6373,goba,1
6374,semis,1
6375,tote,6
6376,drill,2
6377,hurricane,2
6378,siskgroup,1
6379,roadmarke,2
6380,rathbane,2
6381,endas,1
6382,finegael,14
6383,lighten,1
6384,lash,2
6385,feohanagh,3
6386,jones,4
6387,reduce,12
6388,commemorate,3
6389,beating,6
6390,limerickvwaterford,2
6391,wizard,8
6392,cianlynch,10
6393,harrypotter,1
6394,romania,1
6395,hunger,1
6396,detox,1
6397,billy,16
6398,hits,6
6399,frustration,2
6400,gearing,1
6401,defence,12
6402,gais,5
6403,bordgaisenergy,10
6404,theme,18
6405,themenight,1
